"meeting_key","broadcast_name","driver_number","session_key","Team Name","Circuit Name","year","Adjusted Lap Time","Adjusted Lap Time Ratio","Lap Time Difference (ms)","Cluster Name"
1142,"V BOTTAS",77,7775,"Kick Sauber","Jeddah",2023,88017.84322952761,-0.0028001673423484474,-247.15677047238572,"The speed havens"
1142,"O PIASTRI",81,7775,"McLaren","Jeddah",2023,89403.06782797337,0.012893761150777339,1138.0678279733618,"The speed havens"
1143,"M VERSTAPPEN",1,7783,"Red Bull Racing","Melbourne",2023,76826.33237616718,-0.0050851166660125235,-392.66762383282105,"The speed havens"
1143,"L NORRIS",4,7783,"McLaren","Melbourne",2023,79293.77432616797,0.0268687023422729,2074.774326167971,"The speed havens"
1143,"P GASLY",10,7783,"Alpine","Melbourne",2023,76498.27908073222,-0.00933346610636998,-720.7209192677835,"The speed havens"
1143,"F ALONSO",14,7783,"Aston Martin","Melbourne",2023,76549.02437205735,-0.00867630541631792,-669.9756279426534,"The speed havens"
1143,"C LECLERC",16,7783,"Ferrari","Melbourne",2023,77042.00455613663,-0.0022921229731461823,-176.99544386337504,"The speed havens"
1143,"L STROLL",18,7783,"Aston Martin","Melbourne",2023,76484.97155883168,-0.00950580091905262,-734.0284411683243,"The speed havens"
1143,"K MAGNUSSEN",20,7783,"Haas F1 Team","Melbourne",2023,77280.87018689423,0.0008012300974400421,61.87018689422261,"The speed havens"
1143,"N DE VRIES",21,7783,"Racing Bulls","Melbourne",2023,78185.3512676914,0.0125144234928114,966.3512676914035,"The speed havens"
1143,"Y TSUNODA",22,7783,"Racing Bulls","Melbourne",2023,77725.0150568232,0.006552986400020888,506.01505682321294,"The speed havens"
1143,"A ALBON",23,7783,"Williams","Melbourne",2023,76368.46019322415,-0.011014644152033237,-850.5398067758546,"The speed havens"
1143,"G ZHOU",24,7783,"Kick Sauber","Melbourne",2023,78187.45163309561,0.012541623604237495,968.4516330956151,"The speed havens"
1143,"N HULKENBERG",27,7783,"Haas F1 Team","Melbourne",2023,76320.75561196294,-0.011632427097437836,-898.2443880370523,"The speed havens"
1143,"E OCON",31,7783,"Alpine","Melbourne",2023,77300.32710563138,0.0010532007100763074,81.32710563138238,"The speed havens"
1143,"L HAMILTON",44,7783,"Mercedes","Melbourne",2023,77145.78383938006,-0.0009481625068951116,-73.21616061993362,"The speed havens"
1143,"C SAINZ",55,7783,"Ferrari","Melbourne",2023,77248.68201725323,0.0003843874856348517,29.682017253237614,"The speed havens"
1143,"G RUSSELL",63,7783,"Mercedes","Melbourne",2023,77044.58431842198,-0.0022587145855037516,-174.4156815780142,"The speed havens"
1143,"V BOTTAS",77,7783,"Kick Sauber","Melbourne",2023,78792.7448190293,0.020380279711331495,1573.7448190293067,"The speed havens"
1143,"O PIASTRI",81,7783,"McLaren","Melbourne",2023,79283.80853998716,0.02673964361086223,2064.8085399871707,"The speed havens"
1207,"M VERSTAPPEN",1,9064,"Red Bull Racing","Baku",2023,99934.22545648238,-0.0050851166660124125,-510.7745435176168,"The modern 'Tilke' tracks"
1207,"L SARGEANT",2,9064,"Williams","Baku",2023,100938.66097795665,0.00491473919017027,493.66097795665274,"The modern 'Tilke' tracks"
1207,"L NORRIS",4,9064,"McLaren","Baku",2023,101246.40812523827,0.007978576586572528,801.4081252382775,"The modern 'Tilke' tracks"
1207,"P GASLY",10,9064,"Alpine","Baku",2023,103060.22249356944,0.02603636311981128,2615.222493569444,"The modern 'Tilke' tracks"
